From src:'1'	To src:'3'
CHEMBL1081658	KRV
CHEMBL4469249	2YW
CHEMBL103102	MRZ
CHEMBL4209110	5P4
CHEMBL1347703	GW1
CHEMBL3614063	44R
CHEMBL4460557	O3H
CHEMBL2430144	1Q7
CHEMBL225155	S1P
CHEMBL2031893	03X
CHEMBL100768	EGM
CHEMBL863	CYS
CHEMBL4519119	8T0
CHEMBL1469977	6N6
CHEMBL4203118	E3E
CHEMBL3786901	5XP
CHEMBL57445	2AM
CHEMBL279786	BAT
CHEMBL131967	OAK
CHEMBL415	CXX
CHEMBL473489	100
CHEMBL98350	LY2
CHEMBL99703	5VM
CHEMBL445	21B
CHEMBL116427	M91
CHEMBL2402005	1RA
CHEMBL2311920	1B3
CHEMBL368347	GO6
CHEMBL1234085	LS1
CHEMBL443890	LZP
CHEMBL7064	537
CHEMBL3099282	MB7
CHEMBL4212386	EVV
CHEMBL194322	TZY
CHEMBL2180964	CXD
CHEMBL447576	DI8
CHEMBL247920	T4B
CHEMBL3608870	8V8
CHEMBL2322208	0MJ
CHEMBL3137744	RB0
CHEMBL1234757	NLQ
CHEMBL215769	ED2
CHEMBL4537357	JL5
CHEMBL1615182	QAQ
CHEMBL58521	4MN
CHEMBL4441552	EVZ
CHEMBL4227626	A4N
CHEMBL237347	6GE
CHEMBL1230159	3N2
CHEMBL402427	UKV
CHEMBL2059002	2B4
CHEMBL3139608	ML6
CHEMBL489075	DKD
CHEMBL1172560	HPP
CHEMBL1789941	RXT
CHEMBL2170586	0C0
CHEMBL4514548	AWD
CHEMBL373357	BDT
CHEMBL610181	D09
CHEMBL3990140	WRO
CHEMBL3774845	YC8
CHEMBL483083	XEG
CHEMBL100109	DI2
CHEMBL4442726	QAG
CHEMBL157105	ILB
CHEMBL1230101	3CF
CHEMBL3797843	T61
CHEMBL1221913	XBV
CHEMBL71595	PEO
CHEMBL3622209	55Y
CHEMBL4089989	88P
CHEMBL3329614	35S
CHEMBL1096812	Z72
CHEMBL1738926	WSH
CHEMBL2414437	QJ7
CHEMBL1233001	GDR
CHEMBL4209157	3K3
CHEMBL4441340	NEJ
CHEMBL4459270	CZ5
CHEMBL46780	C02
CHEMBL490	8PR
CHEMBL3775058	5OU
CHEMBL245416	MMS
CHEMBL1334465	NVN
CHEMBL3589164	4OK
CHEMBL1738786	D67
CHEMBL310238	LQH
CHEMBL2011266	HI3
CHEMBL4531327	HWM
CHEMBL4063677	9FA
CHEMBL4463201	C7X
CHEMBL3110243	2LX
CHEMBL4441819	6QN
CHEMBL1650269	HX4
CHEMBL457047	LZ2
CHEMBL4303453	SWY
CHEMBL1765480	D83
CHEMBL304552	E4D
CHEMBL1381910	GRV
CHEMBL2178342	GM5
CHEMBL1160786	G3C
CHEMBL2030517	IQ1
CHEMBL4450628	BHU
CHEMBL1275703	5P3
CHEMBL1243	BS4
CHEMBL4460827	J20
CHEMBL1821728	3RS
CHEMBL3809487	5O4
CHEMBL304383	SAR
CHEMBL1615221	SLQ
CHEMBL1615188	QJZ
CHEMBL4583809	5YE
CHEMBL3353206	6YD
CHEMBL2094666	38D
CHEMBL3040508	1RH
CHEMBL4297278	9B0
CHEMBL4540330	6RB
CHEMBL4171524	FQY
CHEMBL152723	PNW
CHEMBL4456085	8RH
CHEMBL16751	15W
CHEMBL3786383	60O
CHEMBL436837	HBM
CHEMBL2030861	0Q5
CHEMBL4466930	TWS
CHEMBL3091865	601
CHEMBL4068323	6W3
CHEMBL4471729	JWE
CHEMBL205792	870
CHEMBL1171076	GGT
CHEMBL3601554	0NK
CHEMBL374078	GNI
CHEMBL449325	5OB
CHEMBL119489	MNS
CHEMBL605525	VDZ
CHEMBL277577	183
CHEMBL1231476	BSF
CHEMBL2387124	0X6
CHEMBL3414622	1L8
CHEMBL2414043	5NN
CHEMBL2386796	729
CHEMBL4570428	GN6
CHEMBL1213085	ZZO
CHEMBL4475712	KE2
CHEMBL549789	P1A
CHEMBL2431466	28V
CHEMBL1765097	WBI
CHEMBL4538997	WN4
CHEMBL3125048	5H3
CHEMBL4090854	7DK
CHEMBL193598	EUG
CHEMBL193598	H7Y
CHEMBL541702	HQ6
CHEMBL2312702	RRG
CHEMBL289004	AAC
CHEMBL3289659	2VP
CHEMBL403929	1Z0
CHEMBL465183	LAX
CHEMBL360055	GMN
CHEMBL235157	253
CHEMBL444314	38S
CHEMBL3582427	4EJ
CHEMBL4548070	J6T
CHEMBL3736583	6M8
CHEMBL229264	8NH
CHEMBL4166970	BZW
CHEMBL3244510	8UA
CHEMBL2208038	BVB
CHEMBL1234570	N11
CHEMBL3526289	R3X
CHEMBL31871	HEF
CHEMBL389767	P29
CHEMBL4438562	NR7
CHEMBL509101	1FN
CHEMBL1162481	VAD
CHEMBL1233749	JK3
CHEMBL525112	QKQ
CHEMBL1173381	DCR
CHEMBL3758953	4UK
CHEMBL4278532	5A3
CHEMBL1835793	SK7
CHEMBL524485	EX5
CHEMBL3629567	VFV
CHEMBL4438171	NV2
CHEMBL2017214	XNB
CHEMBL116	478
CHEMBL3410596	3SH
CHEMBL514175	MZ1
CHEMBL3805249	V2C
CHEMBL34615	SKT
CHEMBL3306340	IVL
CHEMBL1956250	0JQ
CHEMBL329993	EP
CHEMBL327127	P16
CHEMBL328560	OSP
CHEMBL4567623	JVY
CHEMBL401114	HN8
CHEMBL146492	0ZG
CHEMBL2207601	GOB
CHEMBL1938736	YIW
CHEMBL444173	9EW
CHEMBL2086792	0QV
CHEMBL1614761	3F5
CHEMBL3819587	L6I
CHEMBL3763743	V9J
CHEMBL257036	B2Y
CHEMBL4069377	5TO
CHEMBL4595444	M6Q
CHEMBL4116969	8EV
CHEMBL4592515	GZQ
CHEMBL1233721	J43
CHEMBL18602	PTL
CHEMBL1923065	JN8
CHEMBL1236300	TIA
CHEMBL286497	TMJ
CHEMBL1609857	NP7
CHEMBL4436749	S3O
CHEMBL2177230	PK1
CHEMBL2419696	1XP
CHEMBL3727843	7FE
CHEMBL1077458	3O4
CHEMBL126	ZLD
CHEMBL4076155	7U6
CHEMBL2377836	25Z
CHEMBL2041079	D1K
CHEMBL4591732	RG2
CHEMBL3780822	3XW
CHEMBL4549761	FDH
CHEMBL177	AKN
CHEMBL2381611	1KO
CHEMBL3344087	3JH
CHEMBL3753562	XBU
CHEMBL968	FL7
CHEMBL87580	1AW
CHEMBL1822156	AV6
CHEMBL4577528	KT8
CHEMBL3188973	CTV
CHEMBL4465031	LB8
CHEMBL1210329	XFI
CHEMBL2385091	LFT
CHEMBL3182150	4XX
CHEMBL1232922	G46
CHEMBL1234151	M1N
CHEMBL1233129	GSM
CHEMBL638	VOR
CHEMBL124493	B67
CHEMBL3337531	3HY
CHEMBL248906	331
CHEMBL2448885	4R1
CHEMBL4532385	K2A
CHEMBL12193	V1L
CHEMBL1236140	T33
CHEMBL3561645	JGD
CHEMBL1204498	PLB
CHEMBL1235108	P4T
CHEMBL3318802	4NR
CHEMBL1231802	CKB
CHEMBL1428361	8OB
CHEMBL280802	SA9
CHEMBL4452106	9LL
CHEMBL21333	KNT
CHEMBL1235512	PXC
CHEMBL3427680	HFY
CHEMBL570537	ZYS
CHEMBL199181	DA3
CHEMBL4435368	K58
CHEMBL3781993	5Q3
CHEMBL363648	T75
CHEMBL514096	7AL
CHEMBL1584149	BOQ
CHEMBL10030	LLC
CHEMBL3330650	LCJ
CHEMBL1187414	8KL
CHEMBL2010988	E59
CHEMBL3128205	73F
CHEMBL3814550	69B
CHEMBL139835	CA4
CHEMBL1479	QA1
CHEMBL2035633	HY7
CHEMBL1084679	ORG
CHEMBL407009	NDP
CHEMBL1514070	RN1
CHEMBL1173694	B95
CHEMBL1720183	LR8
CHEMBL4466553	5GD
CHEMBL152	L8P
CHEMBL494504	HX7
CHEMBL1210221	PTG
CHEMBL4071740	78X
CHEMBL4297471	MK6
CHEMBL457782	K83
CHEMBL1357627	BOL
CHEMBL222813	ZMR
CHEMBL4092976	8JP
CHEMBL4159007	TVZ
CHEMBL1230301	4MC
CHEMBL3394316	3L5
CHEMBL1504	1TA
CHEMBL4162282	HBJ
CHEMBL3087809	N2K
CHEMBL1231624	C70
CHEMBL1172911	6B3
CHEMBL438485	76A
CHEMBL3915997	R8C
CHEMBL3326416	D02
CHEMBL4580967	UUV
CHEMBL103043	UI2
CHEMBL125278	OUT
CHEMBL3114723	1RD
CHEMBL1214399	7T9
CHEMBL1921985	6D7
CHEMBL497	CQL
CHEMBL481473	FQC
CHEMBL509191	JZQ
CHEMBL541949	ZZ3
CHEMBL3775378	GQD
CHEMBL562317	PF6
CHEMBL469881	4MS
CHEMBL4100431	6TE
CHEMBL3628344	3YF
CHEMBL4438836	97O
CHEMBL1209147	93N
CHEMBL65369	3HB
CHEMBL9417	COR
CHEMBL4564180	5Q7
CHEMBL3093755	4MH
CHEMBL442	ERM
CHEMBL2326360	1ET
CHEMBL1463512	A2J
CHEMBL1276678	RX5
CHEMBL566727	HHS
CHEMBL261473	0M8
CHEMBL2381520	GQZ
CHEMBL4467922	M2V
CHEMBL452596	8CA
CHEMBL381770	2AH
CHEMBL3337829	HFN
CHEMBL264485	4OL
CHEMBL3342553	2FZ
CHEMBL435734	EQC
CHEMBL1200861	TAR
CHEMBL459149	X98
CHEMBL4531456	6JG
CHEMBL3774900	5NV
CHEMBL301523	PHE
CHEMBL1200739	H2S
CHEMBL2326880	1QP
CHEMBL8943	099
CHEMBL178006	B55
CHEMBL3402234	49G
CHEMBL468583	BRJ
CHEMBL4534172	9LH
CHEMBL3884960	6H4
CHEMBL39476	6R6
CHEMBL291962	LEU
CHEMBL4077137	PKU
CHEMBL4439690	B6L
CHEMBL401974	3MS
CHEMBL3948237	K67
CHEMBL1851820	LUI
CHEMBL1221649	ML5
CHEMBL360376	B1V
CHEMBL69439	DJ3
CHEMBL1097318	74A
CHEMBL2163631	KUM
CHEMBL2171660	J2E
CHEMBL4206212	BW8
CHEMBL294099	A73
CHEMBL2088120	KRH
CHEMBL389685	GVH
CHEMBL514116	VDB
CHEMBL4449132	H6Y
CHEMBL3182608	P4H
CHEMBL3237966	KS2
CHEMBL602068	RUG
CHEMBL1643306	6LU
CHEMBL590753	SB5
CHEMBL3335580	3K1
CHEMBL4554474	4L5
CHEMBL486422	DZN
CHEMBL504802	PAL
CHEMBL1114	37T
CHEMBL490225	BNG
CHEMBL564542	7HK
CHEMBL261634	IMR
CHEMBL1229721	1CS
CHEMBL3775394	5WT
CHEMBL4204551	5GA
CHEMBL82293	PLM
CHEMBL1333961	EQT
CHEMBL3884179	6Z2
CHEMBL3289023	NT4
CHEMBL575807	X23
CHEMBL1921973	F5N
CHEMBL140	CC9
CHEMBL2152613	8NO
CHEMBL1230609	88Z
CHEMBL259880	JPN
CHEMBL1233206	H24
CHEMBL3616847	52Q
CHEMBL1160358	ATF
CHEMBL11	IXX
CHEMBL1214599	TDC
CHEMBL2011619	KFW
CHEMBL2041121	8X0
CHEMBL393525	F4N
CHEMBL121626	TLF
CHEMBL1950576	71R
CHEMBL258405	KX7
CHEMBL210240	AXF
CHEMBL1231898	CPI
CHEMBL4208241	EAU
CHEMBL235825	EV0
CHEMBL2312183	T3E
CHEMBL4470802	DE9
CHEMBL4596292	GOZ
CHEMBL3416025	3YV
CHEMBL3894759	J9R
CHEMBL4441577	N4Q
CHEMBL49120	96M
CHEMBL2180481	TQX
CHEMBL2169920	NH5
CHEMBL3617092	4VR
CHEMBL1619	CL9
CHEMBL295830	AC5
CHEMBL490814	1FR
CHEMBL506639	IGA
CHEMBL408513	5OG
CHEMBL2408268	IGM
CHEMBL65061	LTB
CHEMBL3770259	4AE
CHEMBL4536840	9T6
CHEMBL4289524	XX8
CHEMBL437	YTZ
CHEMBL2390974	1BK
CHEMBL1440	TAC
CHEMBL333179	AN3
CHEMBL1818124	M23
CHEMBL3663929	8RC
CHEMBL228126	8KW
CHEMBL295416	WY1
CHEMBL1569611	T0J
CHEMBL3278446	9PO
CHEMBL57375	XV6
CHEMBL379300	L20
CHEMBL3100077	9DU
CHEMBL252535	287
CHEMBL278894	D23
CHEMBL4447716	7K1
CHEMBL3988703	9KQ
CHEMBL2011328	07S
CHEMBL93647	FR0
CHEMBL3793369	6RQ
CHEMBL479079	SAV
CHEMBL458975	X99
CHEMBL4082389	6AL
CHEMBL2386874	S1W
CHEMBL4540808	A1K
CHEMBL3990077	ROU
CHEMBL273923	H04
CHEMBL4091021	XYC
CHEMBL186422	OCH
CHEMBL4579109	OFD
CHEMBL2206214	15J
CHEMBL273386	DNF
CHEMBL4294703	CJK
CHEMBL48608	907
CHEMBL1237072	DI0
CHEMBL3259893	0L9
CHEMBL1230051	35F
CHEMBL558551	6EL
CHEMBL241232	TC0
CHEMBL257341	P41
CHEMBL4091093	87D
CHEMBL319144	M0N
CHEMBL146346	VKV
CHEMBL2030872	MD3
CHEMBL1896117	FQJ
CHEMBL1234485	MSJ
CHEMBL3604360	4F0
CHEMBL3736430	4YX
CHEMBL4449082	DU9
CHEMBL1081840	KBT
CHEMBL1198355	MLH
CHEMBL6448	W42
CHEMBL249441	M54
CHEMBL592131	MS4
CHEMBL4558231	X1M
CHEMBL3600947	4KN
CHEMBL259192	0MW
CHEMBL3577332	FH9
CHEMBL3560357	WLP
CHEMBL4472640	M3Q
CHEMBL1232997	GDN
CHEMBL3798778	5Y7
CHEMBL79956	O7Z
CHEMBL111077	MYR
CHEMBL64780	1V0
CHEMBL4529959	EAR
CHEMBL187810	6DX
CHEMBL453090	DXZ
CHEMBL240528	AFE
CHEMBL13883	V55
CHEMBL96852	IPZ
CHEMBL2403819	AQB
CHEMBL2105728	6T2
CHEMBL1232261	DLI
CHEMBL4160522	GQW
CHEMBL1615027	J2I
CHEMBL84253	MWQ
CHEMBL259621	BZS
CHEMBL2017555	0G1
CHEMBL3298266	31V
